Date,campaign,ad_id,spend
11-02-19,11484480,32631604,49.18
11-02-19,11484485,32631612,33.19
11-02-19,11484611,32631778,2.52
11-02-19,11487692,32636729,7.08
11-02-19,11487692,32636730,7.47
11-02-19,11487692,32636731,1.18
11-02-19,11487692,32636732,1.75
11-02-19,11487692,32636733,3.97
11-02-19,11487738,32636798,42.89
11-02-19,11487745,32636813,61.84
11-02-19,11488819,32638585,0
11-02-19,11488819,32638588,0
11-02-19,11488819,32638589,0
11-02-19,11488831,32638613,0
11-02-19,11488835,32638620,230
11-02-19,11491346,32641692,0
11-02-19,11491346,32641695,0
11-02-19,11491395,32641769,0
11-02-19,11491395,32641771,0
11-02-19,11491429,32641825,0
11-02-19,11506887,32663046,0
11-02-19,11506887,32663048,0
11-02-19,11517044,32676829,16.45
11-02-19,11531497,32701506,350.5
11-02-19,11531515,32701525,187.91
11-02-19,11531547,32701582,20.29
11-02-19,11531557,32701599,24.61
11-02-19,11532401,32702811,543.23
11-02-19,11532402,32702815,36
11-02-19,11545817,32721024,146.2
11-02-19,11545817,32721025,0
11-02-19,11545831,32721042,132.79
11-02-19,11545831,32721043,28.15
11-02-19,11545842,32721061,0
11-02-19,11545842,32721062,0
11-02-19,11581265,32784190,230
11-02-19,11581265,32784191,0
11-02-19,11581265,32784192,0
11-02-19,11581294,32784237,102.3
11-02-19,11581294,32784238,0
11-02-19,11582321,32785700,189.91
11-02-19,11582383,32785814,8.41
11-02-19,11588413,32793136,57.5
11-02-19,11597267,32805031,146.66
11-02-19,11597267,32805032,203.11
11-02-19,11597335,32805106,24.96
11-02-19,11597335,32805107,30.73
11-02-19,11597441,32805266,4.69
11-02-19,11597441,32805267,3.83
11-02-19,11597520,32805357,8.65
11-02-19,11597520,32805359,19.79
11-02-19,11597520,32805360,27.28
11-02-19,11597756,32805636,0
11-02-19,11597756,32805637,0
11-02-19,11597756,32805638,0
11-02-19,11597756,32805639,0
11-02-19,11597756,32805640,0
11-02-19,11597756,32805641,0
11-02-19,11597870,32805844,0
11-02-19,11597870,32805845,0
11-02-19,11597870,32805846,0
11-02-19,11597870,32805847,0
11-02-19,11597870,32805848,0
11-02-19,11597870,32805849,0
11-02-19,11597897,32805885,0
11-02-19,11597897,32805886,0
11-02-19,11597897,32805887,0
11-02-19,11597897,32805888,0
11-02-19,11597897,32805889,0
11-02-19,11661745,32877458,279.43
11-02-19,11661745,32877459,280.28
11-02-19,11661745,32877460,287.06
11-02-19,11661745,32877461,280.54
11-02-19,11661745,32877462,281.35
11-02-19,11661919,32877642,25.72
11-02-19,11661919,32877643,23.82
11-02-19,11661919,32877644,25.83
11-02-19,11661919,32877645,24.05
11-02-19,11661919,32877646,23.91
11-02-19,11662162,32877939,66.52
11-02-19,11662162,32877940,69.21
11-02-19,11662162,32877941,70.74
11-02-19,11662162,32877942,64.11
11-02-19,11662162,32877943,68.74
11-02-19,11662246,32878028,4.48
11-02-19,11662246,32878029,5.3
11-02-19,11662246,32878030,5.11
11-02-19,11662246,32878031,4.9
11-02-19,11662246,32878032,4.31
11-02-19,11795929,33082100,85
11-02-19,11795929,33082103,0
11-02-19,11819050,33115441,105.3
11-02-19,11819050,33115442,0
11-02-19,11819050,33115443,0
11-02-19,11819050,33115444,0
11-02-19,11819050,33115445,0
11-02-19,11819050,33115446,0
11-02-19,11819102,33115521,210.1
11-02-19,11819142,33115568,0
11-02-19,11819142,33115569,0
11-02-19,11819142,33115570,0
11-02-19,11819142,33115571,0
11-02-19,11819166,33115609,70
11-02-19,11819166,33115612,0
11-02-19,11819166,33115614,0
11-02-19,11823649,33121966,61.8
11-02-19,11823649,33121967,255.4
11-02-19,11823649,33121968,106
11-02-19,11823780,33122159,86.8
11-02-19,11823861,33122295,0
11-02-19,11823861,33122296,0
11-02-19,11823861,33122297,0
11-02-19,11823941,33122478,0
11-02-19,11823941,33122479,0
11-02-19,11823941,33122480,0
11-02-19,12178676,33619957,125.37
11-02-19,12178676,33619958,647.52
11-02-19,12178711,33620003,7.91
11-02-19,12178711,33620004,33.43
11-02-19,12178711,33620007,6.33
11-02-19,12178750,33620049,59.81
11-02-19,12178768,33620099,1.5
11-02-19,12178768,33620100,2.13
11-02-19,12178768,33620101,18.57
11-02-19,12190679,33640355,9.21
11-02-19,12190679,33640356,4.81
11-02-19,12190679,33640357,6.79
11-02-19,12190732,33640453,3.69
11-02-19,12190732,33640455,4.25
11-02-19,12304034,33790843,0.88
11-02-19,12304034,33790844,1.89
11-02-19,12304034,33790845,2.46
11-02-19,12304034,33790846,8.72
11-02-19,12304034,33790847,6.32
11-02-19,12304040,33790853,17.1
11-02-19,12304040,33790854,17.54
11-02-19,12304040,33790855,18.68
11-02-19,12304040,33790857,16.24
11-02-19,12304042,33790859,0
11-02-19,12304042,33790860,0
11-02-19,12304042,33790861,0
11-02-19,12304042,33790863,0
11-02-19,12304042,33790864,0
11-02-19,12304069,33790899,4.86
11-02-19,12304086,33790919,0.55
11-02-19,12304086,33790920,0.58
11-02-19,12304086,33790921,0.56
11-02-19,12304086,33790922,0.87
11-02-19,12304086,33790923,1.4
11-02-19,12304092,33790929,2.95
11-02-19,12304092,33790930,2.77
11-02-19,12304092,33790932,2.3
11-02-19,12304092,33790933,1.39
11-02-19,12304099,33790944,0
11-02-19,12304099,33790945,0
11-02-19,12304099,33790946,0
11-02-19,12304099,33790947,0
11-02-19,12304099,33790948,0
11-02-19,12304099,33790949,0
11-02-19,12304110,33790965,0.43
11-02-19,12304110,33790966,2.96
11-02-19,12304110,33790967,1.01
11-02-19,12304110,33790968,0.66
11-02-19,12304110,33790969,1.07
11-02-19,12304110,33790970,5.37
11-02-19,12314791,33808204,0
11-02-19,12314791,33808205,0
11-02-19,12314791,33808206,0
11-02-19,12314829,33808284,0
11-02-19,12314829,33808285,91.8
